scenario,target,profile,method,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
logistic_glm,beta_0,P3,ppi,0.95,0.97,0.97,0.97,0.97,0.97,1.016804824996711,1.016804824996711,1.016804824996711,1.016804824996711,1.016804824996711,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_0,P3,ppi,0.975,0.99,0.99,0.99,0.99,0.99,1.0168048249967108,1.0168048249967108,1.0168048249967108,1.0168048249967108,1.0168048249967108,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_0,P3,ppi_plus_plus,0.9,0.88,0.88,0.88,0.88,0.88,0.9711034797511571,0.9711034797511571,0.9711034797511571,0.9711034797511571,0.9711034797511571,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,1,200
logistic_glm,beta_0,P3,ppi_plus_plus,0.95,0.94,0.94,0.94,0.94,0.94,0.9711034797511576,0.9711034797511576,0.9711034797511576,0.9711034797511576,0.9711034797511576,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,1,200
logistic_glm,beta_0,P3,ppi_plus_plus,0.975,0.98,0.98,0.98,0.98,0.98,0.9711034797511564,0.9711034797511564,0.9711034797511564,0.9711034797511564,0.9711034797511564,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P4,naive_ml,0.9,0.895,0.895,0.895,0.895,0.895,0.07173431799159016,0.07173431799159016,0.07173431799159016,0.07173431799159016,0.07173431799159016,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_0,P4,naive_ml,0.95,0.96,0.96,0.96,0.96,0.96,0.0717343179915902,0.0717343179915902,0.0717343179915902,0.0717343179915902,0.0717343179915902,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,200
logistic_glm,beta_0,P4,naive_ml,0.975,0.98,0.98,0.98,0.98,0.98,0.07173431799159022,0.07173431799159022,0.07173431799159022,0.07173431799159022,0.07173431799159022,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P4,ppi,0.9,0.92,0.92,0.92,0.92,0.92,1.0521049904462558,1.0521049904462558,1.0521049904462558,1.0521049904462558,1.0521049904462558,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_0,P4,ppi,0.95,0.975,0.975,0.975,0.975,0.975,1.0521049904462567,1.0521049904462567,1.0521049904462567,1.0521049904462567,1.0521049904462567,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_0,P4,ppi,0.975,1.0,1.0,1.0,1.0,1.0,1.052104990446256,1.052104990446256,1.052104990446256,1.052104990446256,1.052104990446256,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_0,P4,ppi_plus_plus,0.9,0.895,0.895,0.895,0.895,0.895,0.9727780546638434,0.9727780546638434,0.9727780546638434,0.9727780546638434,0.9727780546638434,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
