scenario,target,profile,method,method_label,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
lr,beta_1,P1,ppi_plus_plus_v2,PPI++V2,0.975,0.9632499999999999,0.9567249999999999,0.961,0.9668749999999999,0.9725125,0.9566097461865619,0.9530551287424721,0.9554755810819254,0.9584783196605013,0.9605089672844337,-0.011749999999999983,-0.018275000000000017,-0.014000000000000012,-0.008124999999999993,-0.002487499999999995,30,2000
lr,beta_1,P2,naive_ml,Naive ML,0.9,1.0,1.0,1.0,1.0,1.0,8.62585134023623e-17,8.382829237509023e-17,8.569098897494211e-17,8.65952245011691e-17,8.787061509402702e-17,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,30,2000
lr,beta_1,P2,naive_ml,Naive ML,0.95,1.0,1.0,1.0,1.0,1.0,8.625851340236209e-17,8.382829237509042e-17,8.56909889749419e-17,8.659522450116921e-17,8.78706150940271e-17,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,30,2000
lr,beta_1,P2,naive_ml,Naive ML,0.975,1.0,1.0,1.0,1.0,1.0,8.62585134023622e-17,8.38282923750902e-17,8.569098897494205e-17,8.659522450116926e-17,8.787061509402712e-17,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,30,2000
lr,beta_1,P2,ppi,PPI,0.9,0.8985,0.8824375,0.893625,0.901875,0.9094125000000001,1.0112514883004236,1.0042452829350113,1.008718042084667,1.0139922622788118,1.0175330027759644,-0.0015000000000000568,-0.017562500000000054,-0.006375000000000047,0.0018749999999999878,0.00941249999999999,30,2000
lr,beta_1,P2,ppi,PPI,0.95,0.9475,0.9390375,0.94275,0.9515,0.9544125,1.0112514883004264,1.0042452829350135,1.0087180420846678,1.0139922622788087,1.0175330027759661,-0.0024999999999999467,-0.010962499999999995,-0.007249999999999951,0.0015000000000000568,0.004412500000000017,30,2000
lr,beta_1,P2,ppi,PPI,0.975,0.973,0.967225,0.9705,0.9755,0.97855,1.0112514883004269,1.0042452829350115,1.0087180420846675,1.0139922622788093,1.0175330027759648,-0.0020000000000000018,-0.007774999999999951,-0.0044999999999999485,0.000500000000000056,0.00355,30,2000
lr,beta_1,P2,ppi_plus_plus_v1,PPI++V1,0.9,0.876,0.862525,0.8716250000000001,0.880875,0.8889625,0.9876475361761802,0.9821515396956072,0.986501515556619,0.988788189311002,0.9917498128541705,-0.02400000000000002,-0.037475000000000036,-0.028374999999999984,-0.01912500000000003,-0.01103750000000003,30,2000
lr,beta_1,P2,ppi_plus_plus_v1,PPI++V1,0.95,0.93025,0.9209499999999999,0.927,0.933875,0.9404125,0.9876475361761812,0.9821515396956066,0.9865015155566195,0.9887881893110024,0.9917498128541709,-0.019749999999999934,-0.02904999999999997,-0.02299999999999991,-0.016124999999999917,-0.009587499999999995,30,2000
lr,beta_1,P2,ppi_plus_plus_v1,PPI++V1,0.975,0.95875,0.9534499999999999,0.956,0.961375,0.9681500000000001,0.9876475361761818,0.9821515396956065,0.9865015155566195,0.9887881893110024,0.9917498128541707,-0.016249999999999987,-0.02155000000000002,-0.019000000000000017,-0.01362499999999997,-0.006849999999999959,30,2000
