seed,scenario,target,profile,method,confidence_level,n_labeled,n_unlabeled,n_replicates,average_ci_width,empirical_coverage
0,mean,theta,P1,ppi,0.95,60,600,2000,0.5134979508325066,0.938
0,mean,theta,P1,ppi_plus_plus,0.95,60,600,2000,0.509648884516218,0.937
0,mean,theta,P2,naive_ml,0.95,60,600,2000,0.09607676700507892,0.3255
0,mean,theta,P2,ppi,0.95,60,600,2000,0.513448915267527,0.9375
0,mean,theta,P2,ppi_plus_plus,0.95,60,600,2000,0.5096088157811516,0.937
0,mean,theta,P3,naive_ml,0.95,60,600,2000,0.0916515508263297,0.949
0,mean,theta,P3,ppi,0.95,60,600,2000,0.5136305839058831,0.939
0,mean,theta,P3,ppi_plus_plus,0.95,60,600,2000,0.5107508397796962,0.9375
0,mean,theta,P4,naive_ml,0.95,60,600,2000,0.09783104408831961,0.948
0,mean,theta,P4,ppi,0.95,60,600,2000,0.5172127791339317,0.94
0,mean,theta,P4,ppi_plus_plus,0.95,60,600,2000,0.5123852042900667,0.9415
0,mean,theta,baseline,classic,0.95,60,600,2000,0.5881097143548328,0.9415
0,mean,theta,P1,naive_ml,0.975,60,600,2000,0.10989265682631298,0.973
0,mean,theta,P1,ppi,0.975,60,600,2000,0.5872330903496817,0.964
0,mean,theta,P1,ppi_plus_plus,0.975,60,600,2000,0.5828313218436724,0.963
0,mean,theta,P2,naive_ml,0.975,60,600,2000,0.10987279833878388,0.4285
0,mean,theta,P2,ppi,0.975,60,600,2000,0.587177013579923,0.964
0,mean,theta,P2,ppi_plus_plus,0.975,60,600,2000,0.5827854994853129,0.9625
0,mean,theta,P3,naive_ml,0.975,60,600,2000,0.10481214840259778,0.9735
0,mean,theta,P3,ppi,0.975,60,600,2000,0.587384768714579,0.9655
0,mean,theta,P3,ppi_plus_plus,0.975,60,600,2000,0.5840915110883411,0.964
0,mean,theta,P4,naive_ml,0.975,60,600,2000,0.11187897879432583,0.975
0,mean,theta,P4,ppi,0.975,60,600,2000,0.591481345089605,0.9675
0,mean,theta,P4,ppi_plus_plus,0.975,60,600,2000,0.5859605602649294,0.9655
0,mean,theta,baseline,classic,0.975,60,600,2000,0.6725586430585508,0.9715
1,logistic_glm,beta_0,P1,naive_ml,0.9,60,600,2000,0.009503791542642644,0.9005
1,logistic_glm,beta_0,P1,ppi,0.9,60,600,2000,1.3320206981317364,0.9205
1,logistic_glm,beta_0,P1,ppi_plus_plus,0.9,60,600,2000,1.2781073016882192,0.9045
1,logistic_glm,beta_0,P2,naive_ml,0.9,60,600,2000,0.0048937734277575045,0.0
1,logistic_glm,beta_0,P2,ppi,0.9,60,600,2000,1.3367505640856612,0.9185
1,logistic_glm,beta_0,P2,ppi_plus_plus,0.9,60,600,2000,1.2842636840152075,0.9025
1,logistic_glm,beta_0,P3,naive_ml,0.9,60,600,2000,0.0028127828938172695,0.0
1,logistic_glm,beta_0,P3,ppi,0.9,60,600,2000,1.342168244946487,0.9215
1,logistic_glm,beta_0,P3,ppi_plus_plus,0.9,60,600,2000,1.2797635087433645,0.903
1,logistic_glm,beta_0,P4,naive_ml,0.9,60,600,2000,0.09506877400841873,0.9005
1,logistic_glm,beta_0,P4,ppi,0.9,60,600,2000,1.3775788476404152,0.922
1,logistic_glm,beta_0,P4,ppi_plus_plus,0.9,60,600,2000,1.2841884494306588,0.9045
1,logistic_glm,beta_0,baseline,classic,0.9,60,600,2000,1.3203316613998832,0.899
1,logistic_glm,beta_0,P1,naive_ml,0.95,60,600,2000,0.011324466101387324,0.9475
1,logistic_glm,beta_0,P1,ppi,0.95,60,600,2000,1.5872005582884163,0.9695
1,logistic_glm,beta_0,P1,ppi_plus_plus,0.95,60,600,2000,1.5229587840769525,0.9625
1,logistic_glm,beta_0,P2,naive_ml,0.95,60,600,2000,0.005831290705593469,0.0
