scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_2,P4,naive_ml,0.9,0.8987499999999999,0.896625,0.9025,0.07205387529777799,0.0719688416101204,0.07211533542384264,-0.0012500000000000289,-0.0033750000000000446,0.0024999999999999467,30,2000
logistic_glm,beta_2,P4,naive_ml,0.95,0.9492499999999999,0.948,0.951375,0.07205387529777796,0.07196884161012031,0.07211533542384278,-0.0007499999999999729,-0.0020000000000000018,0.0013750000000000429,30,2000
logistic_glm,beta_2,P4,naive_ml,0.975,0.97525,0.972125,0.9775,0.0720538752977779,0.07196884161012038,0.07211533542384266,0.000250000000000028,-0.0028749999999999887,0.0025000000000000577,30,2000
logistic_glm,beta_2,P4,ppi,0.9,0.91475,0.912,0.919875,1.0524952906260718,1.0507926097757185,1.0547578351544262,0.014749999999999985,0.01200000000000001,0.019875000000000004,30,2000
logistic_glm,beta_2,P4,ppi,0.95,0.96425,0.961875,0.966,1.0524952906260698,1.0507926097757208,1.0547578351544211,0.01425000000000004,0.011875000000000052,0.016000000000000014,30,2000
logistic_glm,beta_2,P4,ppi,0.975,0.9865,0.983625,0.987375,1.0524952906260743,1.0507926097757192,1.054757835154423,0.011500000000000066,0.00862500000000005,0.012375000000000053,30,2000
logistic_glm,beta_2,P4,ppi_plus_plus,0.9,0.9039999999999999,0.9021250000000001,0.9079999999999999,0.9848840066814831,0.9844563912790605,0.9856125831704732,0.003999999999999948,0.002124999999999988,0.007999999999999952,30,2000
logistic_glm,beta_2,P4,ppi_plus_plus,0.95,0.95475,0.951,0.95775,0.9848840066814821,0.9844563912790606,0.9856125831704734,0.004750000000000032,0.0010000000000000009,0.007750000000000007,30,2000
logistic_glm,beta_2,P4,ppi_plus_plus,0.975,0.97925,0.9766250000000001,0.981,0.9848840066814786,0.9844563912790627,0.9856125831704721,0.0042500000000000315,0.001625000000000043,0.006000000000000005,30,2000
logistic_glm,beta_2,baseline,classic,0.9,0.89975,0.8965,0.902875,1.0,1.0,1.0,-0.000250000000000028,-0.0035000000000000586,0.0028749999999999887,30,2000
logistic_glm,beta_2,baseline,classic,0.95,0.95175,0.9495,0.956,1.0,1.0,1.0,0.0017500000000000293,-0.0004999999999999449,0.006000000000000005,30,2000
