experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
a_mean,15,rf,RF,Random Forest Classifier,Brier,0.11784012796474377,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11842426799659321,4794,19176
a_mean,16,dt,DT,Decision Tree Classifier,Brier,0.12394199397332957,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.11870249925599022,4794,19176
a_mean,16,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11705882573344546,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11330572973639562,4794,19176
a_mean,16,lin,LIN,Logistic Regression,Brier,0.11684561124098458,"{""model__C"": 10.0}",0.11268871277579937,4794,19176
a_mean,16,rf,RF,Random Forest Classifier,Brier,0.11806875135135582,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.1142041583716198,4794,19176
a_mean,17,dt,DT,Decision Tree Classifier,Brier,0.12492131663296328,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 50}",0.12488459795600551,4794,19176
a_mean,17,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11756271308997063,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11741409063365363,4794,19176
a_mean,17,lin,LIN,Logistic Regression,Brier,0.1186276095624332,"{""model__C"": 10.0}",0.11497957350905079,4794,19176
a_mean,17,rf,RF,Random Forest Classifier,Brier,0.11847067082672295,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11768622188615427,4794,19176
a_mean,18,dt,DT,Decision Tree Classifier,Brier,0.12040452287046309,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12246132566135562,4794,19176
a_mean,18,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11645677123097826,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11604600918699104,4794,19176
a_mean,18,lin,LIN,Logistic Regression,Brier,0.11636942880016059,"{""model__C"": 10.0}",0.11083148305834607,4794,19176
a_mean,18,rf,RF,Random Forest Classifier,Brier,0.11668828156679929,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11640337278010274,4794,19176
a_mean,19,dt,DT,Decision Tree Classifier,Brier,0.12178531273662387,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12660144998932155,4794,19176
a_mean,19,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11563597654264486,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12163088675808886,4794,19176
a_mean,19,lin,LIN,Logistic Regression,Brier,0.11529365175224975,"{""model__C"": 10.0}",0.11994597642266402,4794,19176
a_mean,19,rf,RF,Random Forest Classifier,Brier,0.11665001078612391,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12121422528174343,4794,19176
