experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,6,rf,cross_ppi,fold_tuning,,4417896960.031236,0.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,6,rf,cross_ppi,fold_tuning,,4003053740.173964,1.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,6,rf,cross_ppi,fold_tuning,,3945098192.052905,2.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,6,rf,cross_ppi,fold_tuning,,4021231239.6558166,3.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,6,rf,cross_ppi,fold_tuning,,3597531562.965701,4.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,6,rf,cross_ppi,cross_oof_quality,,3973728754.1501627,,MSE
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.0,2087200.0691654936,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.025,2050290.7493690406,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.05,2014461.5531280711,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.075,1979712.7850659941,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.1,1946044.7553459764,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.125,1913457.779672694,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.15,1881952.179287888,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.175,1851528.2809750817,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.2,1822186.417056148,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.225,1793926.9253940964,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.25,1766750.149392521,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.275,1740656.4379957896,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.3,1715646.1456898246,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.325,1691719.6325021633,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.35,1668877.2640028647,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.375,1647119.411304643,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.4,1626446.4510626635,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.425,1606858.7654787288,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.45,1588356.742295981,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.475,1570940.7748051106,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.5,1554611.2618427482,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.525,1539368.6077928438,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.55,1525213.2225854655,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.575,1512145.5217010935,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.6,1500165.9261685244,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.625,1489274.862568684,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.65,1479472.7630327807,,
b_lr,6,gb,ppi_plus_plus_v2,lambda_grid,0.675,1470760.065244328,,
